"answer","question","questionNumber","solveType"
"Is this a pen?","これはぺんですか","0","4"
"","花見に行くのを楽しみにしていたのに、雨で台なしになった。","1","4"
"","その家は夜とても静かで、なかなか寝つけなかった。","2","1"
"","私たちは健康に有害な食品をそれと知らずに口にしていることが多い。","3","2"
"","素晴らしい人との出会いが人生を豊かにしてくれる。","4","1"
"","忙しくて本が読めないとこぼす人が多いが、その気になれば時間はつくれるものだ。","5","1"
"","日本でも、週末に多くの時間を子供たちと過ごす父親が増えてきた。","6","4"
"","私たちは家に帰る途中、にわか雨にあってびしょ濡れになったうえに、もう少しで道に迷いそうになった。","7","3"
"","こんなに面白い本は読んだことがない。一度読み出したらやめられない。","8","2"
"","この新法の目的は、公共の場での受動喫煙を防止することだ。","9","1"
"","今日ではありとあらゆる類のマニュアルや手引書が氾濫している。","10","1"
